task,difficulty,reward,verifier_status,verifier_passed,verifier_total,end_status,native_finish_reason,model_responses,tool_calls,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,trace_usage_observed,trace_source,agent_time_seconds,verifier_time_seconds,end_to_end_time_seconds,finished_at,attempt_count,trial_name,result_path
rstan-to-pystan,Medium,1,passed,6,6,completed,completed,27,31,92758,276096,,9059,,True,agent/dsh-events.jsonl,1020.769936,25.195447,1072.886376,2026-09-02T11:12:46.241815Z,1,rstan-to-pystan__uzPhP9R,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__10-54-53/rstan-to-pystan__uzPhP9R/result.json
sam-cell-seg,Hard,0,failed,1,9,max_turn,max_turns,50,58,69579,596992,,16147,,True,agent/dsh-events.jsonl,2990.369079,467.597283,3489.843254,2026-09-03T17:25:25.386887Z,2,sam-cell-seg__MGwGB7o,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__16-27-14-594380__sam-cell-seg/sam-cell-seg__MGwGB7o/result.json
sanitize-git-repo,Medium,0,failed,2,3,completed,completed,24,32,104851,455232,,4648,,True,agent/dsh-events.jsonl,239.073331,18.431369,283.55593,2026-09-03T18:14:15.625949Z,2,sanitize-git-repo__FGLmHkn,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__18-09-31-010854__sanitize-git-repo/sanitize-git-repo__FGLmHkn/result.json
schemelike-metacircular-eval,Medium,1,passed,1,1,timeout,product deadline,31,37,508173,876224,,59889,,True,agent/dsh-events.jsonl,2407.203382,209.773988,2655.668739,2026-09-02T17:17:06.755259Z,1,schemelike-metacircular-eval__GQF66jK,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__16-32-50/schemelike-metacircular-eval__GQF66jK/result.json
sparql-university,Hard,1,passed,3,3,completed,completed,20,19,36166,203648,,12115,,True,agent/dsh-events.jsonl,291.991358,24.268151,374.177679,2026-09-03T18:19:40.658218Z,2,sparql-university__r6vQHAk,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__18-13-25-386065__sparql-university/sparql-university__r6vQHAk/result.json
sqlite-db-truncate,Medium,1,passed,1,1,completed,completed,6,7,12212,6912,,3420,,True,agent/dsh-events.jsonl,95.038955,16.481225,137.777915,2026-09-03T18:16:40.390274Z,2,sqlite-db-truncate__GkRQGjY,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__18-14-21-678005__sqlite-db-truncate/sqlite-db-truncate__GkRQGjY/result.json
sqlite-with-gcov,Medium,0,failed,0,3,timeout,product deadline,19,20,15261,31616,,1097,,True,agent/dsh-events.jsonl,906.890674,25.430869,995.687675,2026-09-03T18:33:23.827044Z,2,sqlite-with-gcov__7B9ANny,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__18-16-46-929229__sqlite-with-gcov/sqlite-with-gcov__7B9ANny/result.json
torch-pipeline-parallelism,Hard,0,failed,2,3,timeout,product deadline,10,11,91778,58240,,56044,,True,agent/dsh-events.jsonl,906.69134,431.353592,1396.236774,2026-09-03T03:11:54.248654Z,2,torch-pipeline-parallelism__f8nQgEH,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__02-48-37/torch-pipeline-parallelism__f8nQgEH/result.json
torch-tensor-parallelism,Hard,1,passed,3,3,completed,completed,19,18,43073,127168,,11746,,True,agent/dsh-events.jsonl,502.161909,357.875805,911.055091,2026-09-03T03:27:13.405196Z,2,torch-tensor-parallelism__3wS6qQ8,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__03-12-01/torch-tensor-parallelism__3wS6qQ8/result.json
train-fasttext,Hard,0,failed,1,2,timeout,product deadline,30,33,54236,119936,,4782,,True,agent/dsh-events.jsonl,3606.755385,1077.448574,4748.46255,2026-09-02T15:09:24.290868Z,1,train-fasttext__rdLihdB,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__13-50-15/train-fasttext__rdLihdB/result.json
tune-mjcf,Medium,1,passed,4,4,timeout,product deadline,25,26,52450,159680,,13770,,True,agent/dsh-events.jsonl,906.85594,46.630579,978.925489,2026-09-03T18:34:22.159281Z,2,tune-mjcf__3KHhm3n,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__18-18-02-323163__tune-mjcf/tune-mjcf__3KHhm3n/result.json
video-processing,Hard,1,passed,5,5,completed,completed,33,32,511428,1192512,,56115,,True,agent/dsh-events.jsonl,1359.08275,79.649404,1497.219808,2026-09-02T16:18:02.501890Z,1,video-processing__M8cvNSq,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__15-53-04/video-processing__M8cvNSq/result.json
vulnerable-secret,Medium,1,passed,3,3,completed,completed,9,8,14669,28672,,3122,,True,agent/dsh-events.jsonl,94.20914,17.001656,136.62807,2026-09-03T18:22:04.029276Z,2,vulnerable-secret__hj9fbSc,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__18-19-46-500621__vulnerable-secret/vulnerable-secret__hj9fbSc/result.json
winning-avg-corewars,Medium,1,passed,3,3,completed,completed,28,32,218920,208128,,21356,,True,agent/dsh-events.jsonl,775.709343,22.388885,871.15891,2026-09-02T16:32:42.972923Z,1,winning-avg-corewars__ZeGBJau,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__16-18-11/winning-avg-corewars__ZeGBJau/result.json
write-compressor,Hard,1,passed,3,3,completed,completed,8,8,117333,102912,,37938,,True,agent/dsh-events.jsonl,647.667706,25.746552,722.806599,2026-09-03T18:34:13.709626Z,2,write-compressor__LaTuoiJ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__18-22-09-937257__write-compressor/write-compressor__LaTuoiJ/result.json
