task,status,terminal,kind,source,run_id,original_eval_status,failure_category,eval_override,e2e_seconds,agent_seconds,evaluator_seconds,orchestration_seconds,tool_calls,tool_failures,requests,completed,failed,stream,budget_exceeded,usage_count,token_input,token_output,token_total,cache_read,usage_reliable,token_note
quantitative-financial-analysis,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/quantitative-financial-analysis/attempt-1-20260914T164302385821Z,astra969-quantitative-financial-analysis-20260914T164302385821Z,pass,none,,502.450535,369.651569,19.799700553063303,112.9992654469367,40,0,16,16,1,15,False,15,1020484,43963,1064447,911616,False,
reimbursement-form-filler,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/reimbursement-form-filler/attempt-1-20260914T020149899661Z,astra969-reimbursement-form-filler-20260914T020149899661Z,pass,none,,517.959559,414.232155,14.541245657019317,89.18615834298072,31,0,29,29,1,28,False,28,1604426,37512,1641938,1508096,False,
sales-accounting,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/sales-accounting/attempt-1-20260914T021030155136Z,astra969-sales-accounting-20260914T021030155136Z,pass,none,,226.448713,130.676996,15.231252903002314,80.54046409699768,11,0,10,10,0,9,False,10,281010,8797,289807,240128,True,
search-ca-school,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/search-ca-school/attempt-1-20260914T021418379233Z,astra969-search-ca-school-20260914T021418379233Z,pass,none,,823.55099,692.916026,33.79188479203731,96.84307920796266,33,1,20,20,1,19,False,19,1509290,77167,1586457,1369472,False,
set-conf-cr-ddl,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/set-conf-cr-ddl/attempt-1-20260914T022804105629Z,astra969-set-conf-cr-ddl-20260914T022804105629Z,pass,none,,355.348149,216.439408,24.080221731914207,114.82851926808578,32,0,13,13,1,12,False,12,542370,19519,561889,474880,False,
shopping-helper,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/shopping-helper/attempt-1-20260914T023401829536Z,astra969-shopping-helper-20260914T023401829536Z,no_pass,completed_but_no_pass,,1150.248977,676.86605,411.93124995101243,61.45167704898756,37,0,38,38,0,36,False,38,1902433,55141,1957574,1778304,True,
sla-timeout-monitor,pass,completed,historical,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/astra/sla-timeout-monitor/m3-20260807T155211Z-84-sla-timeout-monitor-astra-a1,m3-20260807T155211Z-84-sla-timeout-monitor-astra-a1,,,,660.937519,544.9185886409832,76.37249244295526,39.64643791606147,33,0,45,45,0,22,False,45,796826,52457,849283,,True,historical_previous_astra_version; includes_internal_nonstream; cache_read_unknown
stock-build-position,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/stock-build-position/attempt-1-20260914T030931157318Z,astra969-stock-build-position-20260914T030931157318Z,pass,none,,337.564471,258.036709,16.650280265021138,62.877481734978915,25,0,13,13,1,12,False,12,410821,19624,430445,358912,False,
student-interview,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/student-interview/attempt-1-20260914T031510402851Z,astra969-student-interview-20260914T031510402851Z,pass,none,,417.534468,285.16662,24.71551272191573,107.65233527808425,37,0,12,12,1,11,False,11,443219,25387,468606,371456,False,
subway-planning,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/subway-planning/attempt-1-20260914T032209501080Z,astra969-subway-planning-20260914T032209501080Z,pass,none,,580.740647,480.793541,20.211199345998466,79.7359066540015,48,2,20,20,0,19,False,20,1399684,49278,1448962,1289216,True,
sync-todo-to-readme,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/sync-todo-to-readme/attempt-1-20260914T033152206707Z,astra969-sync-todo-to-readme-20260914T033152206707Z,pass,none,,1014.151831,313.111767,10.54760151496157,690.4924624850385,14,0,15,15,1,14,False,14,738383,24034,762417,663168,False,
task-tracker,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/task-tracker/attempt-1-20260914T034848170612Z,astra969-task-tracker-20260914T034848170612Z,no_pass,completed_but_no_pass,,2570.296322,1840.257914,120.51838627003599,609.5200217299641,143,1,55,55,1,53,False,54,8999406,196566,9195972,8328704,False,
train-ticket-plan,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/train-ticket-plan/attempt-3-20260914T085006082693Z,astra969-train-ticket-plan-20260914T085006082693Z,pass,none,,390.303237,295.985108,22.48559082893189,71.83253817106811,33,0,21,21,1,20,False,20,875153,23741,898894,805376,False,
travel-exchange,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/travel-exchange/attempt-1-20260914T044210083121Z,astra969-travel-exchange-20260914T044210083121Z,no_pass,completed_but_no_pass,,1888.979072,1806.324644,11.348855028976686,71.30557297102337,87,1,36,36,2,34,False,34,2910824,154730,3065554,2707328,False,
travel-expense-reimbursement,no_pass,max_steps,historical,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/astra/travel-expense-reimbursement/m3-20260807T155211Z-92-travel-expense-reimbursement-astra-a1,m3-20260807T155211Z-92-travel-expense-reimbursement-astra-a1,,,,2512.926368,2444.6438039740315,45.274681485956535,23.007882540011906,56,0,100,100,0,39,True,100,3482468,273635,3756103,,True,historical_previous_astra_version; includes_internal_nonstream; cache_read_unknown
trip-adviser,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/trip-adviser/attempt-1-20260914T062154395882Z,astra969-trip-adviser-20260914T062154395882Z,pass,none,,637.447461,561.512725,8.48310919397045,67.45162680602948,34,12,15,15,1,14,False,14,893826,67182,961008,779392,False,
trip-itinerary-generator,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/trip-itinerary-generator/attempt-1-20260914T063233764851Z,astra969-trip-itinerary-generator-20260914T063233764851Z,no_pass,completed_but_no_pass,"{'status': 'pass', 'duration': 29.86, 'result': '/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/evaluator-only-5-20260914T123048Z/trip-itinerary-generator/eval_res.json'}",385.061923,293.10824,22.671162584912963,69.28252041508699,26,0,11,11,0,10,False,11,480871,37765,518636,399360,True,
university-course-selection,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/university-course-selection/attempt-1-20260914T063900450889Z,astra969-university-course-selection-20260914T063900450889Z,no_pass,completed_but_no_pass,,951.321403,858.106601,15.36696326895617,77.84783873104391,34,1,34,34,1,33,False,33,2280483,114595,2395078,2129536,False,
update-material-inventory,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/update-material-inventory/attempt-1-20260914T065453328658Z,astra969-update-material-inventory-20260914T065453328658Z,pass,none,,433.180013,275.003622,19.65188039804343,138.52451060195654,26,0,17,17,1,16,False,16,704849,12099,716948,640256,False,
upenn-campus-route,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/upenn-campus-route/attempt-1-20260914T070208705630Z,astra969-upenn-campus-route-20260914T070208705630Z,pass,none,,677.696248,581.484812,25.19967370503582,71.01176229496411,42,17,22,22,1,21,False,21,1024389,57444,1081833,921344,False,
verl-dataset,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/verl-dataset/attempt-1-20260914T071328200556Z,astra969-verl-dataset-20260914T071328200556Z,pass,none,,904.832119,794.853086,19.398415968054906,90.58061703194517,28,4,22,22,0,21,False,22,1014681,35417,1050098,930304,True,
vlm-history-completer,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/vlm-history-completer/attempt-2-20260914T170747770052Z,astra969-vlm-history-completer-20260914T170747770052Z,no_pass,completed_but_no_pass,,1389.056198,1264.836514,37.41380879492499,86.80587520507493,76,10,33,33,1,32,False,32,2431241,69287,2500528,2284928,False,
wandb-best-score,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/wandb-best-score/attempt-2-20260914T173058936181Z,astra969-wandb-best-score-20260914T173058936181Z,pass,none,,508.704193,424.92787,7.54790211294312,76.22842088705687,37,0,29,29,1,28,False,28,1382790,40103,1422893,1292544,False,
wandb-shortest-length,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/wandb-shortest-length/attempt-2-20260914T085637926632Z,astra969-wandb-shortest-length-20260914T085637926632Z,pass,none,,419.315456,322.25335,10.718770236941054,86.34333576305892,29,1,16,16,0,15,False,16,742717,32069,774786,660224,True,
woocommerce-customer-survey,pass,completed,offline,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/woocommerce-customer-survey/attempt-2-20260914T094057996527Z,astra969-woocommerce-customer-survey-20260914T090338690043Z,pass,,,1436.553003,1263.176618,,,91,5,49,49,2,47,False,47,5241100,120180,5361280,5037056,False,
woocommerce-new-product,no_pass,max_steps,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/woocommerce-new-product/attempt-1-20260914T173953419044Z,astra969-woocommerce-new-product-20260914T173953419044Z,no_pass,model_request_budget,,2977.035999,2795.75267,30.202342129079625,151.0809868709207,149,7,100,100,3,97,True,97,13605623,185268,13790891,13284224,False,
woocommerce-new-welcome,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/woocommerce-new-welcome/attempt-1-20260914T094409416359Z,astra969-woocommerce-new-welcome-20260914T094409416359Z,no_pass,completed_but_no_pass,,3386.483713,1969.6189,28.158472,1388.706341,,,31,31,1,30,False,30,3105437,104820,3210257,2914432,False,
woocommerce-product-recall,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/woocommerce-product-recall/attempt-1-20260914T104404493262Z,astra969-woocommerce-product-recall-20260914T104404493262Z,no_pass,completed_but_no_pass,,1381.874624,1172.370729,45.03305704402737,164.47083795597268,62,4,54,54,1,52,False,53,3236352,94457,3330809,2992256,False,
woocommerce-stock-alert,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/woocommerce-stock-alert/attempt-3-20260915T001727668032Z,astra969-woocommerce-stock-alert-20260915T001727668032Z,no_pass,completed_but_no_pass,,488.697048,326.25975,13.76745355303865,148.66984444696135,29,0,24,24,1,23,False,23,1121231,10739,1131970,1055616,False,
woocommerce-update-cover,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/woocommerce-update-cover/attempt-1-20260914T232946193264Z,astra969-woocommerce-update-cover-20260914T232946193264Z,pass,none,,709.44188,263.651054,29.139071149984375,416.6517548500156,23,0,19,19,1,18,False,18,695107,10448,705555,638720,False,
yahoo-analysis,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/yahoo-analysis/attempt-2-20260914T114908752836Z,astra969-yahoo-analysis-20260914T114908752836Z,pass,none,,536.794338,451.329498,17.94866522902157,67.51617477097847,24,0,21,21,1,20,False,20,1084436,48885,1133321,994048,False,
youtube-repo,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/youtube-repo/attempt-1-20260914T115807063524Z,astra969-youtube-repo-20260914T115807063524Z,no_pass,completed_but_no_pass,,1397.381925,1312.799462,11.33976745500695,73.24269554499301,85,7,49,49,2,47,False,47,4409319,164110,4573429,4143488,False,
